<<<<<<< HEAD
﻿id,statement,class,source,scope
F4,response delay equals 2 s,problem fact,problem statement,Q1-Q4
A10,2 s is interpreted from command to actual release,human-approved timing interpretation,q1_teammate_review_integration,Q1-Q4
A11,lock is already acquired when range first reaches 8000 m,standard-scenario premise,teammate review; required by G1 detection-window claim,Q1-Q2
S2,"released bomb inherits 28 m/s horizontal UAV velocity for 3.5 s; drag, deceleration and wind are ignored",human-approved nominal simplification,q1_method_choice,Q1-Q2
A12,12 km means distance from the initial takeoff point,"recommended primary interpretation, not yet evaluable",teammate review,Q1-Q4
=======
id,condition,category,source_file,status,note
A01,All nominal motion is in a two-dimensional horizontal plane,modelling_assumption,B题：舰船烟幕遮蔽干扰优化.docx,active,Q1 nominal model
A02,The ship moves at constant speed on a straight line,modelling_assumption,B题：舰船烟幕遮蔽干扰优化.docx,active,Speed is 7.71 m/s
A03,G1 pure pursuit missile,modelling_assumption,Q1_编程手与论文手分工.docx,active,Velocity axis points to ship center
A04,Missile is already locked at 8000 m,adopted_interpretation,Q1_编程手与论文手分工.docx,active,Required for full 24.1677 s lower-bound certificate
A05,S1 cloud center is fixed after burst,modelling_assumption,Q1_编程手与论文手分工.docx,active,Nominal model
A06,O0 requires complete coverage of the full ship disk,modelling_assumption,Q1_编程手与论文手分工.docx,active,Ship disk radius 80 m
A07,U0 has no nominal wind drift,modelling_assumption,Q1_编程手与论文手分工.docx,active,No wind data supplied
A08,Command-to-release delay is 2 s,adopted_interpretation,Q1_编程手与论文手分工.docx,active,t_d=t_cmd+2
A09,Release-to-burst delay is 3.5 s,problem_fact,B题：舰船烟幕遮蔽干扰优化.docx,active,t_b=t_d+3.5
A10,Post-release inertial displacement is 98 m,derived_quantity,Q1_编程手与论文手分工.docx,active,Under S1 inertial-flight assumption
A11,12 km is radial distance from UAV launch reference point,adopted_interpretation,Q1_编程手与论文手分工.docx,conditional,Awaiting authoritative interpretation
A12,No UAV turning-radius parameter is imposed,adopted_interpretation,Q1_编程手与论文手分工.docx,active,Straight-line minimum travel time plus waiting or unspecified manoeuvre
A13,Real absolute initial states and time origin are missing,missing_input,B题：舰船烟幕遮蔽干扰优化.docx,blocked,Executable absolute optimum is not evaluated
>>>>>>> 05b4caca0369d310133e03bd82ba235ad075b5d3
